,cluster,word
0,88,ที่
1,88,ใน
2,88,เป็น
3,29,การ
4,182,ของ
5,88,และ
6,47,มี
7,88,ได้
8,74,จาก
9,123,มา
10,98,จะ
11,61,พระ
12,137,กับ
13,88,โดย
14,176,ความ
15,98,ว่า
16,119,ไป
17,137,ให้
18,98,ไม่
19,88,ซึ่ง
20,9,อยู่
21,1,นี้
22,98,ก็
23,4,ผู้
24,47,ขึ้น
25,18,ใช้
26,115,ทาง
27,137,ด้วย
28,82,รับ
29,98,แต่
30,88,กัน
31,113,ออก
32,98,เมื่อ
33,130,ต่อ
34,1,นั้น
35,130,ถึง
36,88,ยัง
37,32,ปี
38,137,เข้า
39,31,ตัว
40,34,มาก
41,123,เขา
42,68,อย่าง
43,50,ประเทศ
44,68,คน
45,108,เพื่อ
46,1,หนึ่ง
47,119,ถูก
48,98,หรือ
49,32,วัน
50,166,เกิด
51,68,ส่วน
52,64,จึง
53,32,ครั้ง
54,17,แห่ง
55,20,สามารถ
56,1,ตาม
57,18,ทำ
58,88,ทั้ง
59,193,เมือง
60,98,แล้ว
61,149,คือ
62,19,ชื่อ
63,127,ราช
64,2,งาน
65,14,ไทย
66,137,ทำให้
67,141,นัก
68,54,อีก
69,1,แรก
70,29,ผล
71,136,ทรง
72,24,ศึกษา
73,93,หลัง
74,64,จน
75,34,ใหญ่
76,65,นำ
77,185,ต่าง
78,171,ชาว
79,109,รวม
80,152,แบบ
81,161,กว่า
82,94,พบ
83,183,โลก
84,180,ตั้ง
85,86,สร้าง
86,3,ลง
87,98,ต้อง
88,54,สอง
89,161,ด้าน
90,19,ภาษา
91,118,แสดง
92,47,ระหว่าง
93,173,เรื่อง
94,129,ร่วม
95,102,เพลง
96,73,ช่วง
97,32,เวลา
98,19,คำ
99,189,เธอ
100,96,ดี
101,86,จัด
102,68,กลุ่ม
103,180,ใต้
104,183,ที่สุด
105,1,ใหม่
106,34,สูง
107,1,หลาย
108,136,สมเด็จ
109,1,บาง
110,50,ชาติ
111,161,สี
112,100,น้ำ
113,67,ไว้
114,180,บน
115,56,ปัจจุบัน
116,182,ชีวิต
117,5,เจ้า
118,24,โรงเรียน
119,172,เรียก
120,152,สำหรับ
121,88,เริ่ม
122,142,ขนาด
123,98,อาจ
124,98,ก่อน
125,20,สำคัญ
126,56,วัด
127,48,กล่าว
128,22,แข่งขัน
129,129,เช่น
130,82,ระดับ
131,181,ตะวัน
132,110,เนื่อง
133,41,จำนวน
134,82,ชั้น
135,48,เห็น
136,5,พระองค์
137,152,ระบบ
138,28,ตำแหน่ง
139,64,กลับ
140,106,สมัย
141,22,เล่น
142,28,คณะ
143,5,พระเจ้า
144,1,ประกอบ
145,193,จังหวัด
146,22,ทีม
147,65,ผ่าน
148,182,อัน
149,23,ภาพ
150,1,อื่น
151,193,เขต
152,29,ลักษณะ
153,189,ชาย
154,118,เขียน
155,196,แก่
156,1,ดัง
157,1,ทุก
158,80,ดาราศาสตร์
159,46,มิ
160,64,ขณะ
161,180,กลาง
162,18,หา
163,180,เหนือ
164,130,ตั้งแต่
165,68,ชนิด
166,136,มหา
167,98,เพียง
168,98,เพราะ
169,73,ตอน
170,65,เปิด
171,167,ภาพยนตร์
172,1,เดียว
173,6,สู่
174,77,ปกครอง
175,138,ฝ่าย
176,113,ตก
177,193,บริเวณ
178,9,บ้าน
179,65,ส่ง
180,98,เคย
181,183,ดาว
182,154,รูป
183,120,ทหาร
184,75,นา
185,183,รอบ
186,186,กำลัง
187,119,พวก
188,98,มัก
189,24,มหาวิทยาลัย
190,193,พื้นที่
191,82,สมาชิก
192,62,มัน
193,73,ภาค
194,106,ยุค
195,86,พัฒนา
196,196,ช่วย
197,102,วง
198,138,สงคราม
199,193,อำเภอ
200,28,นาย
201,56,เดิม
202,29,สิ่ง
203,116,จุด
204,91,เกี่ยว
205,1,เฉพาะ
206,46,โอ
207,162,ปลา
208,90,อังกฤษ
209,34,ยาว
210,88,ทั้งหมด
211,31,เสียง
212,15,เหล่า
213,103,ดิน
214,75,ริ
215,77,เปลี่ยน
216,172,ถือ
217,75,รี
218,75,รา
219,149,หลัก
220,1,สุด
221,14,จีน
222,85,ร้อน
223,131,เสีย
224,170,แม้
225,34,น้อย
226,32,เดือน
227,50,พรรค
228,96,ทางการ
229,50,รัฐ
230,20,นิยม
231,24,เรียน
232,54,สาม
233,2,ดารา
234,55,น
235,47,สำเร็จ
236,29,นอกจาก
237,31,หน้า
238,90,ญี่ปุ่น
239,25,หญิง
240,186,อากาศ
241,183,ดวง
242,130,กลาย
243,18,ทำงาน
244,115,สาย
245,129,ตรง
246,82,ประจำ
247,75,ตา
248,169,ต้น
249,162,สัตว์
250,53,ใจ
251,53,จริง
252,183,ประมาณ
253,168,แตก
254,57,องค์
255,46,เอ
256,77,แบ่ง
257,183,จักร
258,65,เพิ่ม
259,58,หัว
260,46,กา
261,50,รัฐบาล
262,86,ผลิต
263,161,ข้าง
264,77,ดำเนิน
265,197,เรือ
266,121,ยา
267,34,เล็ก
268,167,ละคร
269,48,ปรากฏ
270,3,เอา
271,1,ทั่วไป
272,68,ชุด
273,2,รายการ
274,173,รางวัล
275,55,ส
276,22,กีฬา
277,121,อาหาร
278,1,ต่างๆ
279,75,นิ
280,196,ประกาศ
281,22,ฟุตบอล
282,129,พร้อม
283,88,ภายใน
284,118,ร้อง
285,35,อเมริกา
286,46,ซี
287,46,อา
288,41,ค่า
289,1,เดียวกัน
290,41,เงิน
291,57,ท่าน
292,98,เรา
293,183,ระยะ
294,12,โต
295,130,ตลอด
296,137,แทน
297,17,อดีต
298,127,นคร
299,146,ฤดู
300,43,เครื่อง
301,68,อันดับ
302,50,สภา
303,120,กองทัพ
304,46,ซา
305,165,พุทธ
306,188,ข้อมูล
307,19,นาม
308,18,ค้น
309,98,คง
310,171,ศาสนา
311,153,เดินทาง
312,22,ชนะ
313,193,เกาะ
314,129,ติด
315,180,อาศัย
316,68,รูปแบบ
317,91,เหมือน
318,53,รัก
319,68,รุ่น
320,68,สาขา
321,172,นับ
322,161,แนว
323,55,ล
324,129,คู่
325,18,รักษา
326,116,วัตถุ
327,25,อายุ
328,136,วงศ์
329,192,ใกล้
330,75,ลิ
331,75,ลา
332,46,คา
333,50,สหรัฐ
334,11,ข้อ
335,64,เอง
336,172,เชื่อ
337,43,รังสี
338,46,โค
339,84,บริษัท
340,127,บาท
341,15,อำนาจ
342,97,รัฐมนตรี
343,77,กำหนด
344,115,สถานี
345,22,แชมป์
346,102,อัลบั้ม
347,167,เกม
348,1,แต่ละ
349,135,ศรี
350,107,เลือกตั้ง
351,43,แสง
352,43,คลื่น
353,90,ฝรั่งเศส
354,25,เด็ก
355,77,วาง
356,24,วิชา
357,24,สอน
358,46,ยู
359,22,โอลิมปิก
360,136,บรม
361,130,นาน
362,28,กรม
363,17,กรุง
364,98,น่า
365,28,ราชการ
366,68,ประเภท
367,190,จับ
368,169,ปลาย
369,124,โรค
370,129,รู้จัก
371,193,ตำบล
372,6,ชิง
373,98,ใด
374,183,ดาวฤกษ์
375,143,กำเนิด
376,52,แดน
377,42,ดู
378,176,แรง
379,133,ชิ
380,193,แม่น้ำ
381,46,เซ
382,118,ดนตรี
383,75,โร
384,115,ถนน
385,122,มนุษย์
386,77,บริหาร
387,96,ยิ่ง
388,161,ลำ
389,107,เลือก
390,162,ลูก
391,196,ขอ
392,22,สนาม
393,65,แยก
394,70,ฟ้า
395,15,ตน
396,28,หน่วย
397,6,ตี
398,120,กอง
399,155,พันธุ์
400,48,รู้
401,143,ประวัติ
402,108,ประชาชน
403,20,ต้องการ
404,82,ฐานะ
405,188,หนังสือ
406,2,ยอด
407,10,กรรมการ
408,197,รถ
409,63,อาณาจักร
410,84,ขาย
411,194,ดำรง
412,107,สนับสนุน
413,44,ปัญหา
414,86,ยก
415,80,วิทยาศาสตร์
416,98,เท่านั้น
417,153,ย้าย
418,161,พื้น
419,5,กษัตริย์
420,1,สุดท้าย
421,28,กระทรวง
422,155,แหล่ง
423,92,มอง
424,189,นาง
425,149,เชิง
426,153,เสด็จ
427,116,เส้น
428,189,แม่
429,1,พิเศษ
430,98,ถ้า
431,133,จิ
432,130,กระทั่ง
433,22,สโมสร
434,193,ทะเล
435,46,ซิ
436,2,โทรทัศน์
437,70,แดง
438,46,เด
439,196,เสนอ
440,75,ลี
441,86,ก่อตั้ง
442,29,บุคคล
443,28,หน้าที่
444,180,นอก
445,130,จบ
446,189,บุตร
447,46,บา
448,193,ทิศ
449,60,กิน
450,11,กฎหมาย
451,31,ช่อง
452,46,โก
453,119,ตาย
454,173,บท
455,18,สังเกตการณ์
456,65,ขยาย
457,115,ท่า
458,65,ลด
459,53,พยายาม
460,79,อาคาร
461,5,จักรพรรดิ
462,183,ดาวเคราะห์
463,108,จัดการ
464,154,ไม้
465,194,ครอง
466,91,คล้าย
467,18,เก็บ
468,39,ทั่ว
469,74,เหตุการณ์
470,154,ทอง
471,19,ลำดับ
472,155,ป่า
473,80,ประวัติศาสตร์
474,158,อักษร
475,96,เต็ม
476,135,หลวง
477,63,วัง
478,5,ราชวงศ์
479,71,แผ่นดิน
480,46,เม
481,65,ควบคุม
482,51,สาร
483,83,บี
484,77,เปลี่ยนแปลง
485,79,สถานที่
486,70,ดำ
487,58,ท้อง
488,162,นก
489,46,โน
490,127,อาทิตย์
491,115,เดิน
492,44,สังคม
493,79,ห้อง
494,82,สมัคร
495,94,ต่อสู้
496,57,ธรรม
497,84,บริการ
498,48,คิด
499,98,หาก
500,58,ใบ
501,108,โครงการ
502,18,ตรวจ
503,48,พูด
504,143,ชื่อเสียง
505,189,สาว
506,65,ป้องกัน
507,87,ภาย
508,83,ที
509,63,ทาน
510,59,ไฟฟ้า
511,148,ปกติ
512,105,พิธี
513,35,เอเชีย
514,35,ยุโรป
515,80,ทฤษฎี
516,18,บันทึก
517,115,รถไฟ
518,70,ขาว
519,76,พลังงาน
520,118,แต่ง
521,195,สุ
522,199,ชน
523,155,สภาพ
524,139,ประสบ
525,104,ตัดสิน
526,80,วิจัย
527,147,ภายหลัง
528,53,ผิด
529,88,ได้แก่
530,24,สถาบัน
531,53,ชอบ
532,84,จำหน่าย
533,186,ฐาน
534,197,บิน
535,98,พอ
536,155,ธรรมชาติ
537,64,พา
538,143,มากมาย
539,86,จัดตั้ง
540,151,เก่า
541,188,พิมพ์
542,82,วิทยุ
543,15,ตนเอง
544,130,เหลือ
545,28,นายก
546,6,แผ่
547,126,เอก
548,187,มือ
549,109,หมาย
550,124,อาการ
551,48,บอก
552,1,อื่นๆ
553,60,เลี้ยง
554,161,ผิว
555,65,ก่อ
556,18,ปฏิบัติ
557,120,พล
558,29,โครงสร้าง
559,83,ไอ
560,198,สัมพันธ์
561,98,เลย
562,46,อะ
563,28,สังกัด
564,82,ผู้แทน
565,65,กระจาย
566,147,ราษฎร
567,46,อี
568,196,สั่ง
569,87,เฉียง
570,55,ค
571,74,เหตุ
572,64,ตัวเอง
573,46,โด
574,1,เริ่มต้น
575,155,พืช
576,29,โอกาส
577,34,กว้าง
578,10,เทคโนโลยี
579,84,ค้า
580,86,ออกแบบ
581,91,เกี่ยวข้อง
582,175,พัน
583,71,หมู่
584,46,โม
585,3,ข้าม
586,24,อาชีพ
587,46,ออ
588,55,ร
589,22,แพ้
590,5,โอรส
591,82,รอง
592,156,ตระกูล
593,155,ประชากร
594,54,สี่
595,110,เชื่อม
596,22,ประตู
597,108,ท้องถิ่น
598,127,ธาตุ
599,3,ขับ
600,54,ละ
601,133,ระ
602,154,หิน
603,46,ติ
604,3,ตัด
605,75,วา
606,108,ประโยชน์
607,23,ศิลปะ
608,34,ต่ำ
609,53,สนใจ
610,58,ปาก
611,190,ล่า
612,3,ยิง
613,79,สวน
614,46,เค
615,46,ดา
616,46,โท
617,29,ตัวอย่าง
618,28,ประธาน
619,138,ชัย
620,143,วัฒนธรรม
621,24,ครู
622,29,บทบาท
623,151,โบราณ
624,194,สืบ
625,28,สำนักงาน
626,98,เกิน
627,107,ตอบ
628,121,เนื้อ
629,24,นักเรียน
630,63,บิดา
631,189,ครอบครัว
632,10,แพทย์
633,29,วิธี
634,46,เท
635,42,เด่น
636,122,ร่าง
637,87,เกาหลี
638,63,สำนัก
639,107,แต่งตั้ง
640,28,ดูแล
641,68,ฉบับ
642,189,พ่อ
643,131,คืน
644,175,สิบ
645,189,คุณ
646,45,กระบวนการ
647,20,เจริญ
648,50,สาธารณรัฐ
649,114,สมรส
650,193,แถบ
651,46,โซ
652,133,กะ
653,180,ห่าง
654,148,ย่อย
655,44,เศรษฐกิจ
656,48,เข้าใจ
657,6,ทำลาย
658,136,โปรด
659,122,พลัง
660,115,เส้นทาง
661,86,ก่อสร้าง
662,133,มะ
663,67,ใส่
664,29,แนวคิด
665,30,กรุงเทพ
666,22,คะแนน
667,46,เก
668,189,เพื่อน
669,68,ชิ้น
670,24,วิทยาลัย
671,50,สมาคม
672,149,ดังนี้
673,59,แกน
674,57,จักรวาล
675,147,กรณี
676,95,จำลอง
677,108,เทศบาล
678,125,ชก
679,11,สิทธิ
680,138,รบ
681,98,เท่า
682,22,ลีก
683,84,ธุรกิจ
684,129,ติดต่อ
685,108,ศูนย์
686,28,กำกับ
687,98,ใช่
688,53,รู้สึก
689,100,ไฟ
690,46,คอ
691,110,กระทำ
692,76,มวล
693,46,ทา
694,48,ทราบ
695,143,เป็นต้น
696,13,ว
697,183,ศูนย์กลาง
698,66,ราว
699,43,กล้อง
700,11,สัญญา
701,2,ฉาย
702,110,อิทธิพล
703,196,ช่วยเหลือ
704,20,เร็ว
705,142,ดอก
706,120,ทัพ
707,149,พื้นฐาน
708,193,ย่าน
709,18,ถ่าย
710,131,สิ้น
711,149,ดังนั้น
712,24,ปริญญา
713,45,เซลล์
714,98,ควร
715,48,อธิบาย
716,53,จำ
717,107,ยอมรับ
718,65,ปรับ
719,19,ความหมาย
720,50,ประชุม
721,153,หนี
722,106,คริสต์ศตวรรษ
723,12,อิน
724,25,เพศ
725,28,ตำรวจ
726,50,องค์การ
727,127,จันทร์
728,46,ฮา
729,71,ภูมิภาค
730,54,ล้าน
731,142,รูปร่าง
732,28,หัวหน้า
733,188,ข่าว
734,42,งาม
735,169,เคียง
736,14,อินเดีย
737,82,รายชื่อ
738,50,จักรวรรดิ
739,18,พิจารณา
740,33,เทพ
741,193,ฝั่ง
742,68,ราย
743,8,ชม
744,46,อาร์
745,50,องค์กร
746,6,โจมตี
747,84,ตลาด
748,6,ยึด
749,11,อย่างไร
750,68,สกุล
751,89,การเมือง
752,82,สัญลักษณ์
753,154,แผ่น
754,189,มารดา
755,65,ปิด
756,82,ตรา
757,0,ตัน
758,5,ธิดา
759,79,วิหาร
760,5,พระนาง
761,128,ศพ
762,135,พระยา
763,78,พม่า
764,55,ต
765,70,สัน
766,89,ผู้นำ
767,71,ทวีป
768,199,อเมริกัน
769,29,วิธีการ
770,86,ปรับปรุง
771,101,เกล้า
772,2,ค่าย
773,83,เอส
774,102,ศิลปิน
775,48,เล่า
776,6,ต่อต้าน
777,152,ใช้งาน
778,144,พ
779,2,วงการ
780,19,หลักฐาน
781,48,ระบุ
782,96,สมบูรณ์
783,55,ง
784,18,สังเกต
785,199,คริสต์
786,49,ร่างกาย
787,169,ล่าง
788,55,ก
789,20,จำเป็น
790,46,ชา
791,24,อาจารย์
792,55,อ
793,59,ไหล
794,130,หมด
795,46,ปา
796,65,อ่อน
797,124,ภาวะ
798,83,เดอะ
799,20,ยาก
800,159,ถิ่น
801,199,โรมัน
802,163,อำนวย
803,186,อาวุธ
804,82,ธง
805,130,หยุด
806,75,รอ
807,34,สั้น
808,98,ใคร
809,55,ย
810,180,ไกล
811,58,กระดูก
812,193,คลอง
813,133,ฮิ
814,55,ท
815,46,วี
816,152,คอมพิวเตอร์
817,75,รู
818,185,นานา
819,46,แอ
820,167,การ์ตูน
821,25,วัย
822,46,เจ
823,190,ฆ่า
824,5,ชนม์
825,74,ระเบิด
826,48,คาด
827,43,อุปกรณ์
828,119,ร้าย
829,29,ปรากฏการณ์
830,167,เรื่องราว
831,84,อุตสาหกรรม
832,129,ตกลง
833,18,ทดลอง
834,182,แท้
835,186,บก
836,133,นะ
837,125,มวย
838,20,หนาแน่น
839,96,หนัก
840,55,ฟ
841,32,ฤดูกาล
842,195,อุ
843,63,บัญญัติ
844,135,ราม
845,96,รุนแรง
846,24,มัธยมศึกษา
847,105,ถวาย
848,77,ซื้อ
849,126,ตรี
850,196,ยอม
851,51,อุณหภูมิ
852,133,ยะ
853,81,แผน
854,29,วิวัฒนาการ
855,29,ความคิด
856,143,เอกภพ
857,191,บรรยากาศ
858,22,เหรียญ
859,24,หลักสูตร
860,100,ลม
861,193,หมู่บ้าน
862,196,บังคับ
863,92,แปล
864,197,อวกาศ
865,151,อยุธยา
866,189,พี่
867,67,ผ้า
868,84,สินค้า
869,90,อิตาลี
870,58,ขน
871,108,ชุมชน
872,83,พี
873,138,ศึก
874,59,แม่เหล็ก
875,96,ขวาง
876,62,แก๊ส
877,79,โรง
878,90,เยอรมนี
879,90,สเปน
880,80,วิทยา
